Seat No.,PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,MT-442,EL-332,CS-318,CS-306,CS-312,CS-317,CS-403,CS-421,CS-406,CS-414,CS-419,CS-423,CS-412,CGPA
CS-97177,3.7,2.0,3.3,3.0,3.3,4.0,3.7,3.0,3.7,1.3,4.0,2.0,3.7,3.7,3.3,2.3,1.7,1.7,1.3,3.7,1.3,2.0,1.3,1.3,3.0,1.3,2.0,2.3,3.7,3.3,3.0,3.0,1.3,1.3,1.3,1.0,3.0,3.3,2.0,1.3,3.3,2.528
CS-97178,4.0,2.7,3.3,4.0,3.7,4.0,4.0,3.3,3.3,3.7,4.0,3.7,4.0,3.7,3.7,3.7,2.7,3.0,3.7,4.0,3.3,3.7,2.7,2.0,2.0,3.7,3.3,3.7,3.7,3.3,3.7,3.7,2.0,2.3,3.3,2.7,3.7,3.7,3.7,2.7,4.0,3.369
CS-97179,4.0,3.7,3.7,4.0,3.3,4.0,3.7,3.0,3.7,3.7,3.7,2.0,3.7,3.7,3.0,3.0,3.7,3.3,3.0,3.7,3.3,2.7,2.7,1.3,3.0,1.7,3.0,2.7,3.7,3.3,2.3,3.0,1.7,1.7,1.7,2.3,3.7,3.7,3.3,1.7,3.7,3.044
CS-97180,3.7,3.3,2.7,4.0,3.3,3.7,3.3,3.0,2.0,3.7,4.0,3.0,3.7,3.7,2.3,3.7,1.7,3.0,2.0,3.7,2.7,2.3,1.7,1.7,1.7,2.7,3.0,4.0,3.7,3.3,2.3,3.7,2.0,3.3,3.7,2.3,3.7,3.7,2.7,3.3,3.0,3.076
CS-97181,3.7,3.3,3.0,3.7,3.0,3.7,2.7,3.0,2.3,2.7,4.0,3.7,3.7,3.3,2.3,2.7,1.3,2.3,1.7,3.7,2.0,2.7,1.0,2.7,2.7,1.3,3.0,2.0,3.0,3.7,2.7,3.7,1.7,1.7,2.7,1.7,3.7,4.0,2.3,2.0,3.3,2.749
CS-97182,2.0,3.7,1.7,4.0,3.7,3.0,3.7,3.7,1.7,3.7,4.0,2.3,3.7,3.7,2.7,3.7,3.7,3.7,3.0,3.7,3.7,2.0,4.0,2.3,2.0,2.0,3.3,3.3,2.0,3.3,2.3,3.7,2.3,2.0,2.7,1.3,3.7,3.7,3.7,2.0,3.3,3.074
CS-97183,4.0,3.7,3.7,4.0,4.0,3.7,4.0,3.0,3.7,3.7,4.0,3.7,4.0,4.0,4.0,3.7,3.3,3.7,3.7,3.7,4.0,3.7,3.3,3.0,3.7,3.7,3.7,4.0,4.0,4.0,3.7,4.0,2.7,4.0,4.0,3.3,4.0,3.7,3.7,3.7,3.7,3.736
CS-97184,3.7,1.3,2.7,2.3,2.3,3.0,1.3,1.7,1.7,1.3,3.3,3.7,2.3,3.3,1.7,1.7,1.3,1.7,1.3,3.7,1.3,1.7,3.7,2.0,2.7,1.3,2.7,1.7,3.3,2.3,2.7,3.7,1.0,3.7,1.7,2.7,3.3,3.3,1.3,1.0,3.0,2.311
CS-97185,3.7,3.3,3.7,3.7,3.3,3.7,3.3,2.7,3.0,1.7,4.0,3.7,2.7,4.0,2.0,3.3,1.7,2.7,1.7,3.7,2.7,2.3,1.3,2.7,3.0,2.3,3.7,3.0,3.0,3.0,3.3,3.7,1.0,2.3,2.3,3.0,3.7,4.0,2.0,3.0,3.7,2.971
CS-97186,4.0,3.3,3.7,4.0,3.7,3.7,3.7,2.7,2.7,3.7,4.0,4.0,4.0,3.7,3.7,3.7,3.0,3.7,3.7,4.0,3.7,2.7,2.7,2.7,3.7,3.7,4.0,4.0,3.7,3.0,3.7,4.0,3.7,4.0,4.0,2.7,3.7,3.7,3.7,3.7,3.7,3.585
CS-97187,2.7,2.0,2.7,2.3,2.0,2.7,1.3,1.3,2.0,1.0,2.3,1.3,1.0,2.0,1.0,1.0,2.0,1.3,1.3,2.7,1.3,2.3,3.7,2.0,2.0,1.7,1.3,1.0,2.7,2.3,2.7,2.0,3.3,1.0,3.0,2.0,3.0,3.3,2.7,1.3,2.3,2.053
CS-97188,3.0,3.7,3.3,2.7,3.0,3.7,3.3,3.3,1.3,3.0,3.0,2.3,1.3,4.0,1.0,3.0,1.3,3.7,2.7,3.7,3.7,2.3,1.3,1.7,3.0,2.3,3.7,2.0,2.7,3.7,3.7,3.7,2.7,2.3,3.3,2.3,3.7,3.3,3.0,3.0,3.0,2.895
CS-97189,2.3,3.7,3.3,2.7,2.0,3.7,3.3,1.7,2.0,1.7,3.7,2.0,1.3,4.0,1.3,3.3,1.3,3.0,3.3,2.0,3.3,2.0,1.7,2.3,3.7,2.3,3.0,2.0,2.7,2.3,2.7,3.7,2.0,2.7,2.3,1.3,3.0,3.7,2.3,2.3,3.0,2.634
